packet_size,protocol_type,burst_rate,flow_duration,source_port,dest_port,byte_count,retransmission_rate,jitter,latency,priority_class
916,0,685,81.7,29742,587,2373795,3.89,12.27,190.59,2
328,0,476,167.93,17751,80,3557550,2.61,13.93,135.63,2
923,0,861,10.5,50318,443,4726940,3.01,9.62,12.73,1
656,4,432,35.47,58096,110,801214,5.54,46.53,100.65,2
796,4,300,161.56,58554,587,3783134,3.47,48.68,177.53,2
943,3,142,73.86,38392,53,2652361,2.83,18.86,168.7,2
135,1,2077,16.42,18604,5060,428014,1.71,7.67,5.25,0
1092,3,728,57.38,19761,80,1022487,5.23,16.7,66.03,2
909,3,65,179.28,21590,80,3140172,3.9,15.84,24.42,2
121,1,2823,1.75,19159,5061,491399,0.33,1.56,29.22,0
676,0,1649,17.3,52397,443,6567604,4.94,13.33,50.97,1
400,3,279,100.83,53738,110,1163779,2.49,22.87,157.86,2
343,0,568,7.16,34509,587,663280,2.76,40.41,20.44,2
812,3,300,165.5,6686,25,2056941,3.91,42.03,151.31,2
383,3,1857,87.12,3225,80,7059445,1.73,18.92,19.38,1
202,5,372,82.17,19552,443,865780,6.39,22.67,115.19,2
287,0,1110,25.18,16830,5004,12516,1.84,1.51,9.82,0
889,0,87,61.6,22693,22,2554025,14.49,79.18,59.25,3
500,0,506,147.37,7720,80,3473376,3.09,29.6,157.27,2
1027,3,170,75.95,34822,8443,11011844,11.25,71.32,384.16,3
1216,0,298,186.57,38654,21,19534541,11.54,88.49,200.63,3
1021,3,1968,24.2,48862,80,6650981,0.73,7.48,59.12,1
219,0,640,111.07,46080,80,1750620,4.58,47.43,133.61,2
1018,3,115,293.16,33398,8443,38560656,7.62,48.02,193.05,3
245,0,96,58.68,15525,25,1033083,2.89,29.06,71.95,2
987,0,40,57.7,43749,21,41917828,11.93,89.79,172.51,3
824,1,607,44.0,23784,8080,5905802,3.98,8.75,41.09,1
1124,0,143,94.82,36338,8443,13202685,5.0,31.14,431.56,3
784,4,785,3.72,36621,80,815632,1.02,10.79,121.67,2
974,0,247,59.31,52369,443,14279297,11.42,22.26,128.83,3
291,1,2087,19.15,28529,5061,163993,1.43,8.24,24.31,0
508,3,748,84.7,12363,443,6150557,3.61,9.91,78.7,1
1033,3,215,93.49,8266,110,1654928,5.06,19.72,126.07,2
1211,0,468,147.4,38358,53,3718693,1.44,24.67,123.63,2
1377,3,280,150.92,58088,69,30847746,12.94,33.17,290.3,3
392,0,627,80.51,21221,80,962416,3.73,29.81,41.74,1
744,4,514,86.46,38772,587,1813070,7.7,32.83,88.49,2
223,1,1671,3.93,25519,4000,66428,0.1,4.25,8.54,0
541,4,1432,51.7,19554,80,4399432,3.43,24.82,54.18,1
1199,4,511,24.35,59680,80,1198721,2.94,26.83,34.75,2
368,3,396,115.32,5848,53,369813,2.79,13.37,133.46,2
207,1,1666,11.33,29505,5004,143038,1.34,3.35,5.5,0
1281,0,122,294.3,60801,443,48579051,5.42,22.71,422.77,3
556,4,1789,88.12,44070,80,9113937,0.84,16.83,66.14,1
1437,0,102,82.45,2626,21,16258425,10.24,55.17,297.0,3
125,1,2431,12.33,17465,5061,280040,0.88,2.47,3.72,0
666,3,417,27.63,20577,80,3009685,7.15,41.54,75.5,2
597,1,796,41.5,63099,5900,3520576,3.14,24.75,66.98,1
478,1,1296,93.51,47881,80,7299186,4.25,21.69,56.6,1
878,4,1947,9.14,41496,8080,247712,2.93,20.28,79.84,1
809,4,264,107.44,37442,3389,7868031,0.72,12.13,53.66,1
1197,3,269,289.44,53218,69,11599663,13.93,95.74,306.13,3
743,0,705,29.7,61743,443,2225276,6.59,31.6,80.72,2
905,3,102,101.65,50179,8443,22679553,11.18,45.92,195.12,3
1156,1,1475,67.32,9364,8080,8685919,3.19,28.28,54.23,1
1145,0,70,296.91,51945,22,13924940,13.16,50.97,63.03,3
540,1,524,78.82,28587,3389,5531526,3.87,13.34,59.01,1
1033,0,29,203.91,2700,8443,38624343,6.79,31.44,64.35,3
595,0,1085,102.6,13462,80,6461844,2.2,6.94,38.07,1
993,0,304,30.07,65391,443,877275,3.08,15.85,78.21,1
272,1,2042,0.86,32320,5061,474026,0.32,5.49,16.44,0
1047,0,122,198.82,53218,22,29289816,3.89,93.99,369.58,3
519,5,420,77.21,44447,53,3082234,3.43,27.4,49.76,2
220,1,1981,26.93,22689,5004,390088,0.05,1.65,21.76,0
299,1,3232,21.21,27431,4000,301677,1.98,0.99,4.67,0
1445,0,97,137.09,46482,8443,21718504,8.37,66.95,242.31,3
396,4,246,117.09,20430,80,3061046,1.46,9.77,56.25,1
1233,0,174,64.36,43891,8443,46776822,6.63,96.57,276.97,3
653,0,722,48.85,54946,80,769133,8.0,48.04,36.81,2
908,4,1156,61.07,40073,3389,672242,4.86,28.38,38.83,1
698,3,158,50.13,10163,53,3875997,2.71,47.7,95.62,2
96,1,1309,13.34,27885,5061,193154,0.66,4.46,25.85,0
549,4,338,40.15,45286,443,2558579,2.21,13.93,13.41,1
337,0,643,32.38,45782,3389,354062,2.94,24.87,23.63,1
788,0,707,73.4,58813,80,258393,3.11,8.64,31.72,1
975,3,163,201.39,33738,21,39324581,9.7,99.09,358.14,3
262,1,4012,19.48,20566,5061,34205,1.42,2.56,10.41,0
1123,4,603,58.19,46573,53,2455259,2.71,21.11,30.57,2
935,3,87,197.01,34105,8443,33038191,13.43,22.48,102.29,3
768,1,1249,88.84,64561,8080,6228379,4.48,27.77,77.11,1
1420,0,289,266.42,47866,69,47319897,2.8,87.47,469.17,3
298,1,3939,27.07,18981,5061,173026,0.08,6.42,2.47,0
608,0,243,143.58,47972,443,4930803,4.19,26.75,37.26,2
949,3,1241,64.49,31467,8080,2081178,1.38,20.37,79.56,1
1047,4,778,29.23,35708,110,2507875,7.16,22.43,126.83,2
857,4,1484,67.83,10821,3389,6405281,4.16,14.62,12.02,1
730,0,908,5.03,63049,8080,6102870,1.44,10.83,66.77,1
736,3,1868,56.38,42953,8080,553207,4.57,16.02,60.66,1
821,0,274,68.53,65057,8443,39774522,6.84,25.05,244.65,3
1058,3,61,270.38,27104,8443,44813664,8.29,90.68,100.82,3
251,3,634,7.71,5715,25,4391251,6.48,26.35,37.73,2
1013,0,122,75.77,21459,8443,45163633,13.27,22.62,207.92,3
1339,0,94,237.39,4878,69,12649540,12.0,56.01,147.9,3
118,0,1579,22.19,24377,4000,480319,1.91,3.37,28.9,0
782,4,1630,36.73,2747,8080,5361494,2.83,29.11,11.15,1
1124,3,1217,8.95,34471,3389,513647,2.92,22.37,68.58,1
937,3,158,120.37,31530,21,33101549,10.52,62.25,190.72,3
1199,3,295,288.98,18511,443,40252853,6.82,24.08,77.31,3
1064,0,282,75.07,7666,21,19939752,13.68,38.92,244.95,3
341,3,134,34.4,45994,80,2639165,2.63,46.68,194.11,2
169,1,2600,3.39,29930,4000,17138,1.6,7.89,15.78,0
407,4,624,30.33,35404,443,3150230,4.56,30.84,119.84,2
702,0,547,22.31,15606,443,3834514,5.7,15.07,130.13,2
1239,0,198,197.48,64250,22,1295531,3.19,38.59,415.48,3
734,4,791,149.81,13504,443,2602329,3.07,44.99,135.25,2
440,0,544,60.02,12395,443,5040881,2.34,25.96,22.96,1
898,0,1290,34.51,38101,80,3885152,1.41,6.69,22.0,1
1268,3,182,286.67,63876,21,6891548,12.09,46.95,440.91,3
1269,3,156,239.96,50036,22,9947405,7.02,83.45,175.61,3
558,4,627,83.79,40282,8080,6676223,4.47,21.1,59.91,1
560,3,263,29.22,50817,110,1724360,1.27,40.98,43.84,2
1389,3,597,29.83,34103,80,1883784,7.83,22.37,164.56,2
744,5,78,28.52,13222,80,2169584,5.84,36.2,39.1,2
141,1,4179,24.56,25872,4000,459624,1.28,6.83,17.2,0
1425,0,129,64.47,52948,22,29918845,4.14,36.69,396.4,3
553,3,318,41.29,49456,110,809017,2.46,32.15,185.43,2
1115,0,280,87.64,32349,22,7785771,5.39,34.62,475.71,3
